# V11 Paper Numbers Inventory
# Source: docs/beyond_recall_v10_1_draft.md (release-frozen 2026-04-24)
# Cross-checked against: docs/reviews/v10_numerical_verification_report.md
# Aggregation rule: 5-judge primary panel (Haiku, Sonnet, Opus, GPT-4o, GPT-5.4); within-judge mean across questions, then across-judge mean.
# Status legend: EXISTING (canonical scaffold reproduces); MISSING (no canonical scaffold OR scaffold output disagrees with paper); EXTERNAL (cited prior work); EXCLUDE (out-of-scope for Phase 2)
# Priority: HIGH (load-bearing §4 headline); MEDIUM (supporting); LOW (style/methodology); N/A (external)
# Note: lines marked "scaffold:promote-needed" are existing scripts not yet in the canonical list; phase-2 should formally adopt them.
section,line_in_paper,claim_id,quoted_text,number,current_source,scaffold_status,priority_for_phase_2,notes
§1.3,94,1_3_correct_spec_delta,"correct +0.35",+0.35,script:scripts/compute_wrong_spec_5judge.py,EXISTING (scaffold:promote-needed),HIGH,Wrong-spec; promote script
§1.3,94,1_3_random_derangement_delta,"random-derangement +0.22",+0.22,script:scripts/compute_wrong_spec_5judge.py,EXISTING (scaffold:promote-needed),HIGH,Wrong-spec
§1.3,94,1_3_adversarial_delta,"adversarial-derangement -0.25",-0.25,script:scripts/compute_wrong_spec_5judge.py,EXISTING (scaffold:promote-needed),HIGH,Wrong-spec
§1.3,95,1_3_hedging_narrow,"28.8% → 1.4% → 0.0% (narrow rule)",28.8/1.4/0.0,script:scripts/classify_hedging.py,EXISTING,HIGH,Hedging
§1.3,108,1_3_hedging_broad,"41.2 → 7.9 → 0.4 (broader rule)",41.2/7.9/0.4,script:scripts/classify_hedging.py,EXISTING,HIGH,Hedging broader
§1.3,108,1_3_hedging_counts_narrow,"146/507, 7/507, 0/507",counts,script:scripts/classify_hedging.py,EXISTING,MEDIUM,Hedging numerators
§1.3,108,1_3_hedging_counts_broad,"209/507, 40/507, 2/507",counts,script:scripts/classify_hedging.py,EXISTING,MEDIUM,Hedging numerators
§1.3,108,1_3_wrongspec_n,"587 wrong-spec responses classified",587,doc:docs/research/wrong_spec_detection_analysis.md,doc:NEEDS-script,MEDIUM,Detection counts
§1.3,108,1_3_explicit_detection,"60.6% explicitly flagged",60.6%,doc:docs/research/wrong_spec_detection_analysis.md,doc:NEEDS-script,HIGH,Note: framing inconsistency INC-5
§1.3,108,1_3_low_quality_apply,"36.5% attempted to apply",36.5%,doc:docs/research/wrong_spec_detection_analysis.md,doc:NEEDS-script,MEDIUM,Detection
§1.3,108,1_3_implicit_hedge,"2.0% hedged implicitly",2.0%,doc:docs/research/wrong_spec_detection_analysis.md,doc:NEEDS-script,MEDIUM,Detection
§1.3,108,1_3_ambiguous,"0.9% were ambiguous",0.9%,doc:docs/research/wrong_spec_detection_analysis.md,doc:NEEDS-script,LOW,Detection
§1.3,110,1_3_mem0_ctrl_low,"Mem0 (+0.10)",+0.10,doc:docs/research/memory_systems_5judge_primary.md,doc:NEEDS-script,HIGH,Memory-system Δ
§1.3,110,1_3_letta_ctrl_low,"Letta-archival (+0.17)",+0.17,doc:docs/research/memory_systems_5judge_primary.md,doc:NEEDS-script,HIGH,Memory-system Δ
§1.3,110,1_3_zep_ctrl_low,"Zep (+0.17)",+0.17,doc:docs/research/memory_systems_5judge_primary.md,doc:NEEDS-script,HIGH,Memory-system Δ
§1.3,110,1_3_sm_ctrl_low,"Supermemory (-0.01)",-0.01,doc:docs/research/memory_systems_5judge_primary.md,doc:NEEDS-script,HIGH,Memory-system Δ
§1.3,102,1_3_slope,"Slope of -0.96 (95% CI: -1.24, -0.67)",-0.96/[-1.24,-0.67],script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Gradient slope
§1.3,102,1_3_R2,"R² = 0.82",0.82,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Gradient R²
§1.3,102,1_3_p_value,"p < 0.001 (p = 0.000009)",9e-6,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Gradient p
§1.3,135,1_3_letta_block_sizes,"22,472 / 68,413 / 335,349 chars",3 sizes,doc:docs/research/letta_stateful_matched_rerun.md,doc:NEEDS-script,MEDIUM,Letta block characters
§1.3,135,1_3_letta_dup,"25.4% verbatim sentence duplication",25.4%,doc:docs/research/letta_stateful_matched_rerun.md,doc:NEEDS-script,MEDIUM,Letta duplication
§1.3,133,1_3_letta_v_bl_hamerton,"Hamerton 3.10 vs. 2.96",3.10/2.96,doc:docs/research/_letta_rerun/5judge_primary_results.json,doc:NEEDS-script,HIGH,Letta vs BL
§1.3,133,1_3_letta_v_bl_ebers,"Ebers 2.76 vs. 1.72",2.76/1.72,doc:docs/research/_letta_rerun/5judge_primary_results.json,doc:NEEDS-script,HIGH,Letta vs BL
§1.3,133,1_3_letta_v_bl_babur,"Babur 2.42 vs. 1.88",2.42/1.88,doc:docs/research/_letta_rerun/5judge_primary_results.json,doc:NEEDS-script,HIGH,Letta vs BL
§1.3,135,1_3_letta_fullstack_delta,"Δ +0.27 / +1.21 / +0.38 full-stack rerun",3 deltas,doc:docs/research/_letta_rerun/fullstack_named/RESULTS.md,doc:NEEDS-script,HIGH,Full-stack Letta
§1.3,108,1_3_keckley_q21_examples,"Sup -2.33 / BL -2.33 / Mem0 -0.50 / Zep -0.50 / Letta +1.00",5 deltas,doc:Keckley analysis docs,doc:NEEDS-script,MEDIUM,Cross-system refusal
§1.3,110,1_3_mem0_native,"Mem0 (+0.12 controlled, +0.33 native)",+0.12/+0.33,doc:docs/research/memory_systems_5judge_primary.md,doc:NEEDS-script,HIGH,Memory-system native
§1.3,110,1_3_zep_native,"Zep (+0.19 controlled, +0.33 native)",+0.19/+0.33,doc:docs/research/memory_systems_5judge_primary.md,doc:NEEDS-script,HIGH,Memory-system native
§1.3,110,1_3_letta_native,"Letta archival -0.02 native",-0.02,doc:docs/research/memory_systems_5judge_primary.md,doc:NEEDS-script,HIGH,Memory-system native
§1.3,108,1_3_sm_helps_swing,"median improvement +1.45",+1.45,doc:docs/research/_sm_paired_5judge.json,doc:NEEDS-script,MEDIUM,Supermemory swings
§1.3,108,1_3_sm_hurts_swing,"median worsening -1.41",-1.41,doc:docs/research/_sm_paired_5judge.json,doc:NEEDS-script,MEDIUM,Supermemory swings
§1.3,115,1_3_bl_c1_mean,"Base Layer C1 mean ~2.30",~2.30,doc:per-subject aggregates,doc:NEEDS-script,LOW,Approximate
§1.3,115,1_3_sm_c1_mean,"Supermemory ~2.65",~2.65,doc:per-subject aggregates,doc:NEEDS-script,LOW,Approximate
§1.3,107,1_3_hamerton_baselines,"Hamerton C2a 2.63 / C8 2.27 / C9 3.09 / C4a 2.77",4 values,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,§4.2 Hamerton row
§1.3,106,1_3_corpus_spec_gap,"average gap between spec-alone and raw corpus is 0.22 points",0.22,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Compression gap
#
# === §2 Prior Work === Numbers: 16; EXTERNAL: 16; EXISTING: 0; MISSING: 0
#
§2.1,161,2_1_mem0_locomo,"Mem0 91.6 LOCOMO",91.6,EXTERNAL (vendor),EXTERNAL,EXCLUDE,Vendor self-report
§2.1,161,2_1_mem0_lme,"Mem0 93.4 LongMemEval",93.4,EXTERNAL (vendor),EXTERNAL,EXCLUDE,Vendor self-report
§2.1,161,2_1_mem0g_locomo,"Mem0g 68.44 LOCOMO with GPT-4o-mini",68.44,EXTERNAL (Chhikara 2025),EXTERNAL,EXCLUDE,Cited paper
§2.1,162,2_1_letta_locomo,"Letta 74.0% LOCOMO",74.0%,EXTERNAL (Letta blog),EXTERNAL,EXCLUDE,Vendor blog
§2.1,163,2_1_sm_lme,"Supermemory 81.6/84.6/85.2 LongMemEval_s",3 numbers,EXTERNAL (vendor),EXTERNAL,EXCLUDE,Vendor self-report
§2.1,164,2_1_zep_lme,"Zep 71.2% LongMemEval",71.2%,EXTERNAL (Rasmussen 2025),EXTERNAL,EXCLUDE,Cited paper
§2.3,188,2_3_persona_top,"PersonaScore 4.51 ± 0.08",4.51,EXTERNAL (Samuel 2025),EXTERNAL,EXCLUDE,Cited paper
§2.3,188,2_3_persona_low,"PersonaScore 3.64 ± 0.57",3.64,EXTERNAL (Samuel 2025),EXTERNAL,EXCLUDE,Cited paper
§2.3,192,2_3_twin2k_n,"2,058 participants",2058,EXTERNAL (Toubia 2025),EXTERNAL,EXCLUDE,Cited paper
§2.3,206,2_3_twin2k_acc,"71.72% individual-level accuracy",71.72%,EXTERNAL (Toubia 2025),EXTERNAL,EXCLUDE,Cited paper
§2.3,2354,2_3_twin2k_human,"Human test-retest 81.72%, top twin 87.67%",2 numbers,EXTERNAL (Toubia 2025),EXTERNAL,EXCLUDE,Cited paper
§2.3,2354,2_3_twin2k_random,"Random-guess baseline 59.17%",59.17%,EXTERNAL (Toubia 2025),EXTERNAL,EXCLUDE,Cited paper
§2.3,2354,2_3_twin2k_replic,"6 of 10 behavioral-economics experiments",6/10,EXTERNAL (Toubia 2025),EXTERNAL,EXCLUDE,Cited paper
§2.4,230,2_4_jain_sycophancy,"+45% Gemini 2.5 Pro sycophancy",+45%,EXTERNAL (Jain 2025),EXTERNAL,EXCLUDE,Cited paper
§2.4,228,2_4_jiang_acc,"~50% accuracy on dynamic profiling",~50%,EXTERNAL (Jiang 2025),EXTERNAL,EXCLUDE,Cited paper
§2.5,236,2_5_zheng_judge,"over 80% MT-Bench / Chatbot Arena",80%,EXTERNAL (Zheng 2023),EXTERNAL,EXCLUDE,Cited paper
§2.3,2370,2_3_locomo_baselines,"GPT-4-turbo 32.1%, GPT-3.5-turbo 22.4%, best RAG 41.4%, human 87.9%",5 numbers,EXTERNAL (Maharana 2024),EXTERNAL,EXCLUDE,Cited paper
#
# === §3 Study Design === Numbers: 31; EXISTING: 13; MISSING: 18; EXTERNAL: 0
#
§3.2,266-279,3_2_subject_words_table,"Per-subject word counts (14 subjects)",14 rows,doc:source corpus files,doc:NEEDS-script,MEDIUM,Subject corpus sizes
§3.2,281,3_2_franklin_baseline_5j,"Franklin baseline 3.77 on 5-judge",3.77,doc:legacy_20260411 (no script),doc:NEEDS-script,MEDIUM,Franklin C5
§3.2,283,3_2_franklin_haiku,"Franklin 4.10 on Haiku alone",4.10,doc:KEY_FINDINGS.md,doc:NEEDS-script,LOW,Franklin Haiku
§3.2.1,295-297,3_2_1_band_counts,"9 / 5 / 1 baseline-band counts",9/5/1,script:scripts/recompute_5judge_primary.py,EXISTING,LOW,Band counts derivable
§3.4,349,3_4_n_questions_main,"Each main-study subject receives 39 BP questions",39,script:scripts/_v10_verification/per_question_all14.py,EXISTING,LOW,Battery size
§3.4,349,3_4_franklin_q,"Franklin's legacy battery has 40",40,script:scripts/_verify_battery_leakage.py,EXISTING,LOW,Franklin battery
§3.4,349,3_4_total_586,"586 questions across 15 subjects",586,script:scripts/_verify_battery_leakage.py,EXISTING,LOW,Total
§3.4,351,3_4_leakage_aggregate,"2 of 586 questions leak (0.34% aggregate)",2/586,script:scripts/_verify_battery_leakage.py,EXISTING,LOW,Leakage
§3.4,351,3_4_leakage_main,"14 main-study subjects leak-check at 0.00%",0.00%,script:scripts/_verify_battery_leakage.py,EXISTING,LOW,Main study leakage
§3.4,353,3_4_zitkala_outlier,"Q18... one question out of 586 (0.17%)",1/586=0.17%,doc:s114 audit,doc:NEEDS-script,LOW,False-premise outlier
§3.7.2,495-498,3_7_2_calibration_haiku,"Haiku 5.00/4.75/3.80/5.00",4 values,doc:results/judge_calibration/,doc:NEEDS-script,MEDIUM,Calibration table
§3.7.2,495-498,3_7_2_calibration_geminiflash,"Gemini Flash 5.00/4.70/3.85/3.80",4 values,doc:results/judge_calibration/,doc:NEEDS-script,MEDIUM,Calibration
§3.7.2,495-498,3_7_2_calibration_gpt4o,"GPT-4o 5.00/5.00/4.05/3.35",4 values,doc:results/judge_calibration/,doc:NEEDS-script,MEDIUM,Calibration
§3.7.2,495-498,3_7_2_calibration_geminipro,"Gemini Pro 4.15/3.55/2.85/1.20",4 values,doc:results/judge_calibration/,doc:NEEDS-script,MEDIUM,Calibration
§3.7.2,495-498,3_7_2_calibration_gpt54,"GPT-5.4 5.00/5.00/4.20/4.80",4 values,doc:results/judge_calibration/,doc:NEEDS-script,MEDIUM,Calibration
§3.7.2,508,3_7_2_5j_to_7j_widening,"+0.35 → +0.45 (+0.10 widening)",+0.35/+0.45,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Conservatism claim
§3.7.4,539,3_7_4_spearman_5j,"Spearman ρ = 0.86 to 0.93 across 5-judge primary",0.86-0.93,doc:docs/research/stats_update.md,doc:NEEDS-script,HIGH,Note INC-4 ('21 pairs' wording mismatch in v10 §3.7.4)
§3.7.4,541,3_7_4_krippendorff_5j,"Krippendorff α = 0.659 across 5-judge primary",0.659,doc:docs/research/stats_update.md,doc:NEEDS-script,HIGH,Inter-judge agreement
§3.7.4,541,3_7_4_krippendorff_7j,"0.535 across 7-judge panel",0.535,doc:docs/research/stats_update.md,doc:NEEDS-script,HIGH,7-judge α
§3.7.6,563,3_7_6_n_abstentions,"192 responses match abstention patterns",192,script:scripts/audit_low_end_inflation.py,EXISTING,MEDIUM,Abstention audit
§3.7.6,563,3_7_6_abstention_floor,"82.8% scored 1.0-1.5",82.8%,script:scripts/audit_low_end_inflation.py,EXISTING,MEDIUM,Abstention distribution
§3.7.6,563,3_7_6_abstention_above_2,"9.4% scored at or above 2.0",9.4%,script:scripts/audit_low_end_inflation.py,EXISTING,MEDIUM,Abstention inflation
§3.7.6,563,3_7_6_abstention_above_3,"3.2% scored at or above 3.0",3.2%,script:scripts/audit_low_end_inflation.py,EXISTING,MEDIUM,Abstention high
§3.7.6,563,3_7_6_mean_abstention,"mean abstention score 1.27",1.27,script:scripts/audit_low_end_inflation.py,EXISTING,MEDIUM,Abstention mean
§3.7.6,565,3_7_6_n_low_baseline,"1,599 low-baseline responses",1599,script:scripts/audit_low_end_inflation.py,EXISTING,MEDIUM,Length-correlation N
§3.7.6,565,3_7_6_length_r_all,"length-score r = 0.26 overall",0.26,script:scripts/audit_low_end_inflation.py,EXISTING,MEDIUM,Length r
§3.7.6,565,3_7_6_length_r_c5,"C5 r = 0.604",0.604,script:scripts/audit_low_end_inflation.py,EXISTING,MEDIUM,Length r C5
§3.7.6,565,3_7_6_length_r_c2a,"C2a r = 0.14",0.14,script:scripts/audit_low_end_inflation.py,EXISTING,MEDIUM,Length r C2a
§3.7.6,565,3_7_6_length_r_c4,"C4 r = 0.01",0.01,script:scripts/audit_low_end_inflation.py,EXISTING,MEDIUM,Length r C4
§3.7.6,565,3_7_6_length_r_c4a,"C4a r = -0.01",-0.01,script:scripts/audit_low_end_inflation.py,EXISTING,MEDIUM,Length r C4a
§3.7.6,565,3_7_6_ultra_high_len,"Ultra-high 2,790 vs mid 2,829",2790/2829,script:scripts/audit_low_end_inflation.py,EXISTING,LOW,Length comparison
§3.7.6,567,3_7_6_per_judge_strictness,"Sonnet 1.14, GPT-5.4 1.17, Haiku 1.29, GPT-4o 1.34, Opus 1.41",5 means,script:scripts/audit_low_end_inflation.py,EXISTING,MEDIUM,Per-judge strictness
#
# === §4.1 The Gradient === Numbers: 41; EXISTING: 35; MISSING: 6
#
§4.1,594,4_1_c4a_uniform_mean,"mean C4a = 2.41 across all 14 subjects",2.41,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Coupling-free framing
§4.1,594,4_1_baseline_range,"baseline... spans from 1.02 to 2.77",1.02-2.77,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Baseline range
§4.1,598,4_1_low_baseline_mean_lift,"Mean score lift: +0.89 points",+0.89,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Headline
§4.1,600,4_1_n_responses_low,"351 individual responses",351,script:scripts/compute_anchor_crossing.py,EXISTING,HIGH,Low-baseline questions
§4.1,600,4_1_anchor_up_55,"55.0% crossed at least one anchor upward",55.0%,script:scripts/compute_anchor_crossing.py,EXISTING,HIGH,Anchor crossing
§4.1,604,4_1_transition_1to2,"1→2: 33.3%",33.3%,script:scripts/compute_anchor_crossing.py,EXISTING,MEDIUM,Transition table
§4.1,605,4_1_transition_1to3,"1→3: 12.3%",12.3%,script:scripts/compute_anchor_crossing.py,EXISTING,MEDIUM,Transition
§4.1,606,4_1_transition_1to4,"1→4: 4.8%",4.8%,script:scripts/compute_anchor_crossing.py,EXISTING,MEDIUM,Transition
§4.1,607,4_1_transition_1to5,"1→5: 0.9%",0.9%,script:scripts/compute_anchor_crossing.py,EXISTING,MEDIUM,Transition
§4.1,608,4_1_transition_2to3,"2→3: 2.0%",2.0%,script:scripts/compute_anchor_crossing.py,EXISTING,MEDIUM,Transition
§4.1,609,4_1_transition_2to4,"2→4: 0.3%",0.3%,script:scripts/compute_anchor_crossing.py,EXISTING,MEDIUM,Transition
§4.1,610,4_1_transition_3to4,"3→4: 1.4%",1.4%,script:scripts/compute_anchor_crossing.py,EXISTING,MEDIUM,Transition
§4.1,611,4_1_no_crossing,"No upward crossing 38.2%",38.2%,script:scripts/compute_anchor_crossing.py,EXISTING,MEDIUM,No-cross
§4.1,612,4_1_downward_crossing,"Downward crossing 6.8%",6.8%,script:scripts/compute_anchor_crossing.py,EXISTING,MEDIUM,Downward
§4.1,680,4_1_slope,"Regression slope -0.96 [95% CI -1.24, -0.67]",-0.96/[-1.24,-0.67],script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Headline slope
§4.1,681,4_1_R2,"R² = 0.82",0.82,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Headline R²
§4.1,682,4_1_p_slope,"p < 0.001 (p = 0.000009)",9e-6,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Slope p
§4.1,683,4_1_correlation,"Correlation r = -0.90",-0.90,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Correlation
§4.1,684,4_1_wilcoxon_c2a,"Wilcoxon C5 vs C2a: W=10, p=0.005",W=10/p=0.005,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,C2a Wilcoxon
§4.1,685,4_1_wilcoxon_c4a,"Wilcoxon C5 vs C4a: W=11, p=0.007",W=11/p=0.007,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,C4a Wilcoxon
§4.1,692,4_1_low_baseline_c5_mean,"mean 1.52 on the low-baseline slice",1.52,script:scripts/recompute_5judge_primary.py,EXISTING (INC-2 flag),MEDIUM,8-subj vs 9-subj inconsistency
§4.1,715,4_1_ebers_row,"Ebers 1.02 / 1.54 / 2.07 / +0.52 / +1.05",5 values,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Gradient table
§4.1,716,4_1_sunity_row,"Sunity Devee 1.03 / 2.27 / 2.41 / +1.24 / +1.38",5 values,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Gradient table
§4.1,717,4_1_hamerton_row,"Hamerton 1.26 / 2.63 / 2.77 / +1.37 / +1.51",5 values,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Gradient table
§4.1,718,4_1_fukuzawa_row,"Fukuzawa 1.67 / 2.35 / 2.78 / +0.68 / +1.11",5 values,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Gradient table
§4.1,719,4_1_bernal_row,"Bernal Diaz 1.70 / 2.27 / 2.48 / +0.57 / +0.78",5 values,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Gradient table
§4.1,720,4_1_babur_row,"Babur 1.76 / 1.91 / 2.01 / +0.15 / +0.25",5 values,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Gradient table
§4.1,721,4_1_seacole_row,"Seacole 1.77 / 2.48 / 2.59 / +0.71 / +0.82",5 values,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Gradient table
§4.1,722,4_1_keckley_row,"Keckley 1.84 / 2.43 / 2.44 / +0.58 / +0.59",5 values,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Gradient table
§4.1,723,4_1_yungwing_row,"Yung Wing 1.88 / 2.22 / 2.40 / +0.34 / +0.52",5 values,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Gradient table
§4.1,725,4_1_zitkala_row,"Zitkala-Sa 2.34 / 2.03 / 2.02 / -0.31 / -0.32",5 values,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Gradient table
§4.1,726,4_1_cellini_row,"Cellini 2.38 / 2.54 / 2.53 / +0.16 / +0.15",5 values,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Gradient table
§4.1,727,4_1_rousseau_row,"Rousseau 2.44 / 2.81 / 2.53 / +0.37 / +0.10",5 values,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Gradient table
§4.1,728,4_1_augustine_row,"Augustine 2.58 / 2.48 / 2.70 / -0.11 / +0.11",5 values,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Gradient table
§4.1,729,4_1_equiano_row,"Equiano 2.77 / 2.46 / 2.42 / -0.31 / -0.35",5 values,script:scripts/recompute_5judge_primary.py,EXISTING,HIGH,Gradient table
§4.1,731,4_1_franklin_row,"Franklin 3.77 / 3.37 / 3.65 / -0.40 / -0.13",5 values,doc:legacy_20260411,doc:NEEDS-script,HIGH,Franklin row not in main script
§4.1,743,4_1_partial_baseline_slope,"partial coefficient -0.88 [-1.13, -0.63] p<10⁻⁵",-0.88,script:scripts/_v10_battery_sensitivity.py,EXISTING,HIGH,Battery sensitivity
§4.1,743,4_1_literal_recall_beta,"LITERAL_RECALL +2.30 [+0.34, +4.26] p=0.026",+2.30,script:scripts/_v10_battery_sensitivity.py,EXISTING,HIGH,Battery sensitivity
§4.1,743,4_1_unique_var_c5,"63.6% unique to C5",63.6%,script:scripts/_v10_battery_sensitivity.py,EXISTING,MEDIUM,Variance attribution
§4.1,743,4_1_unique_var_lr,"6.9% unique to LITERAL_RECALL",6.9%,script:scripts/_v10_battery_sensitivity.py,EXISTING,MEDIUM,Variance attribution
§4.1,743,4_1_adj_r2,"Adjusted R² 0.80 → 0.87",0.80→0.87,script:scripts/_v10_battery_sensitivity.py,EXISTING,MEDIUM,Adjusted R²
§4.1,743,4_1_pearson_predictors,"Pearson r = -0.28, VIF = 1.08",-0.28/1.08,script:scripts/_v10_battery_sensitivity.py,EXISTING,LOW,Multicollinearity
§4.1,745,4_1_gpt54_subset,"-0.89 [-1.18, -0.61] R²=0.81 p<10⁻⁴",-0.89,script:scripts/_v10_battery_sensitivity.py,EXISTING,HIGH,Hamerton-removed slope
§4.1,749,4_1_level_slope,"level slope +0.04 [-0.25, +0.33] R²=0.008 p=0.76",+0.04,script:scripts/_v10_coupling_sensitivity.py,EXISTING,HIGH,Coupling-free
§4.1,749,4_1_c4a_cluster,"C4a clusters near 2.46",2.46,script:scripts/_v10_coupling_sensitivity.py,EXISTING,HIGH,C4a constant
§4.1,751,4_1_perm_null,"permutation null centered -0.998 SD 0.127 p=0.77",-0.998/0.127,script:scripts/_v10_coupling_sensitivity.py,EXISTING,HIGH,Permutation test
§4.1,751,4_1_bootstrap_delta,"bootstrap CI Δ-on-C5 [-1.254, -0.740]",[-1.254,-0.740],script:scripts/_v10_coupling_sensitivity.py,EXISTING,HIGH,Bootstrap
§4.1,751,4_1_bootstrap_level,"level slope bootstrap [-0.254, +0.260]",[-0.254,+0.260],script:scripts/_v10_coupling_sensitivity.py,EXISTING,HIGH,Bootstrap
§4.1.1,757,4_1_1_franklin_baseline,"Franklin C5 = 3.77",3.77,doc:legacy_20260411,doc:NEEDS-script,MEDIUM,Franklin baseline
§4.1.1,759,4_1_1_franklin_c2a_drop,"Franklin spec alone (C2a) drops 0.40 points",-0.40,doc:legacy_20260411,doc:NEEDS-script,MEDIUM,Franklin Δ_C2a
