subject,condition,paper_section,paper_line_hint,severity,judges_affected,primary_judge_failures,gemini_failures,n_questions_affected,failure_classes,notes
global_babur,C3_supermemory,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,empty_response=39,gemini-only — affects 7-judge α only
global_bernal_diaz,C1_baselayer,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,http_429=33;empty_response=6,gemini-only — affects 7-judge α only
global_bernal_diaz,C3_baselayer,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,http_429=32;empty_response=7,gemini-only — affects 7-judge α only
global_bernal_diaz,C8_raw_corpus,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,http_403=34;empty_response=5,gemini-only — affects 7-judge α only
global_bernal_diaz,C9_raw_corpus_plus_spec,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,http_403=34;empty_response=5,gemini-only — affects 7-judge α only
global_cellini,C1_baselayer,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,http_429=11;empty_response=28,gemini-only — affects 7-judge α only
global_cellini,C3_baselayer,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,http_429=10;empty_response=29,gemini-only — affects 7-judge α only
global_ebers,C1_baselayer,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,http_429=39,gemini-only — affects 7-judge α only
global_ebers,C3_baselayer,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,http_429=39,gemini-only — affects 7-judge α only
global_equiano,C1_baselayer,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,http_429=26;empty_response=13,gemini-only — affects 7-judge α only
global_equiano,C3_baselayer,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,http_429=26;empty_response=13,gemini-only — affects 7-judge α only
global_equiano,C1_supermemory,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,28,28,no_score_extracted=28,gemini-only — affects 7-judge α only
global_fukuzawa,C1_baselayer,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,http_429=23;empty_response=16,gemini-only — affects 7-judge α only
global_fukuzawa,C3_baselayer,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,http_429=23;empty_response=16,gemini-only — affects 7-judge α only
global_keckley,C1_baselayer,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,http_403=39,gemini-only — affects 7-judge α only
global_keckley,C3_baselayer,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,http_403=39,gemini-only — affects 7-judge α only
global_rousseau,C1_baselayer,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,http_429=20;empty_response=19,gemini-only — affects 7-judge α only
global_rousseau,C3_baselayer,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,http_429=19;empty_response=20,gemini-only — affects 7-judge α only
global_rousseau,C8_raw_corpus,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,empty_response=39,gemini-only — affects 7-judge α only
global_rousseau,C9_raw_corpus_plus_spec,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,empty_response=39,gemini-only — affects 7-judge α only
global_rousseau,C1_supermemory,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,empty_response=39,gemini-only — affects 7-judge α only
global_rousseau,C3_supermemory,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,empty_response=39,gemini-only — affects 7-judge α only
global_seacole,C1_baselayer,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,empty_response=39,gemini-only — affects 7-judge α only
global_seacole,C3_baselayer,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,empty_response=39,gemini-only — affects 7-judge α only
global_sunity_devee,C1_baselayer,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,empty_response=39,gemini-only — affects 7-judge α only
global_sunity_devee,C3_baselayer,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,empty_response=39,gemini-only — affects 7-judge α only
global_yung_wing,C1_baselayer,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,empty_response=39,gemini-only — affects 7-judge α only
global_yung_wing,C3_baselayer,7-judge sensitivity panel,§4.6 sensitivity,P3,gemini_flash,0,39,39,empty_response=39,gemini-only — affects 7-judge α only
